key,title,venue,year,official,source
jain2025livecodebench,LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code,ICLR,2025,True,openreview
safarzadeh-etal-2026-spence,SPENCE: A Syntactic Probe for Detecting Contamination in NL2SQL Benchmarks,ACL,2026,True,acl_anthology
gupta2026position,Position: ICML Should Treat Hosted LLM APIs as Versioned Dependencies and Require Drift-Audit Artifacts,ICML,2026,True,openreview
wang-etal-2023-self-instruct,Self-Instruct: Aligning Language Models with Self-Generated Instructions,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2023,True,https://aclanthology.org/2023.acl-long.754.bib
askari-etal-2025-solid,SOLID: Self-seeding and Multi-intent Self-instructing LLMs for Generating Intent-aware Information-Seeking Dialogs,Findings of NAACL,2025,True,acl_anthology
mao-etal-2024-rag,RAG-Studio: Towards In-Domain Adaptation of Retrieval Augmented Generation Through Self-Alignment,Findings of EMNLP,2024,True,acl_anthology
wu2022autoformalization,Autoformalization with Large Language Models,NeurIPS,2022,True,openreview
haluptzok2023language,Language Models Can Teach Themselves to Program Better,ICLR,2023,True,openreview
wu-2024-uicoder,UICoder: Finetuning Large Language Models to Generate User Interface Code through Automated Feedback,NAACL,2024,True,acl_anthology
DBLP:conf/nips/SchickDDRLHZCS23,Toolformer: Language Models Can Teach Themselves to Use Tools,NeurIPS 2023,2023,True,https://openreview.net/forum?id=psqD4Ny7yi
hsieh-etal-2023-distilling,Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes,Findings of the Association for Computational Linguistics: ACL 2023,2023,True,https://aclanthology.org/2023.findings-acl.507.bib
tong-etal-2024-llms,Can LLMs Learn from Previous Mistakes? Investigating LLMs’ Errors to Boost for Reasoning,ACL,2024,True,acl_anthology
cho-etal-2025-self,Self-Correcting Code Generation Using Small Language Models,Findings of EMNLP,2025,True,acl_anthology
Zhang2026ap2o,AP2O-Coder: Adaptively Progressive Preference Optimization for Reducing Compilation and Runtime Errors in LLM-Generated Code,AAAI,2026,True,meta
kung-etal-2023-active,Active Instruction Tuning: Improving Cross-Task Generalization by Training on Prompt Sensitive Tasks,EMNLP,2023,True,acl_anthology
li-etal-2025-teaching,Teaching According to Talents! Instruction Tuning LLMs with Competence-Aware Curriculum Learning,Findings of EMNLP,2025,True,acl_anthology
yang2025selfguided,Self-Guided Hierarchical Exploration for Generalist Foundation Model Web Agents,NeurIPS,2025,True,openreview
Yang_2024_CVPR,Embodied Multi-Modal Agent trained by an LLM from a Parallel TextWorld,CVPR,2024,True,cvf
NEURIPS2022_b1efde53,Training language models to follow instructions with human feedback,Advances in Neural Information Processing Systems,2022,True,https://proceedings.neurips.cc/paper_files/paper/19175-/bibtex
NEURIPS2023_a85b405e,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,Advances in Neural Information Processing Systems,2023,True,https://proceedings.neurips.cc/paper_files/paper/22372-/bibtex
lee2024rlaif,RLAIF vs. RLHF: Scaling Reinforcement Learning from Human Feedback with AI Feedback,ICML 2024 Poster,2024,True,https://openreview.net/forum?id=uydQ2W41KO
setlur2025rewarding,Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning,ICLR,2025,True,openreview
rajaee-etal-2025-local,Local Look-Ahead Guidance via Verifier-in-the-Loop for Automated Theorem Proving,Findings of ACL,2025,True,acl_anthology
yang2025the,The Lighthouse of Language: Enhancing LLM Agents via Critique-Guided Improvement,NeurIPS,2025,True,openreview
li2026webdevjudge,WebDevJudge: Evaluating (M)LLMs as Critiques for Web Development Quality,ICLR,2026,True,openreview
deutsch-etal-2022-limitations,On the Limitations of Reference-Free Evaluations of Generated Text,EMNLP,2022,True,acl_anthology
son2026judging,Judging What We Cannot Solve: A Consequence-Based Approach for Oracle-Free Evaluation of Research-Level Math,ICML,2026,True,openreview
Yuksekgonul2025,Optimizing generative AI by backpropagating language model feedback,Nature,2025,True,https://citation-needed.springer.com/v2/references/10.1038/s41586-025-08661-4?format=bibtex&flavour=citation
